Siruta,Judet,Localitate,Mean_Diversity
1019,Judet_1,Localitate_19,1.8708586712411346
1043,Judet_10,Localitate_43,1.0508682027234457
1036,Judet_11,Localitate_36,0.1150921077785219
1028,Judet_12,Localitate_28,1.7872577620374603
1097,Judet_13,Localitate_97,1.2673087446265796
1065,Judet_14,Localitate_65,0.6325167293341335
1035,Judet_15,Localitate_35,1.4795348187981558
1072,Judet_16,Localitate_72,0.8716879175551879
1058,Judet_17,Localitate_58,0.5870624422446534
1096,Judet_18,Localitate_96,1.4158940596414344
1099,Judet_19,Localitate_99,0.9110285089426606
1075,Judet_2,Localitate_75,1.512557839531984
1020,Judet_3,Localitate_20,0.19409755073237983
1087,Judet_4,Localitate_87,0.8357470252439588
1049,Judet_5,Localitate_49,0.899698020653072
1039,Judet_6,Localitate_39,1.1260124086568097
1034,Judet_7,Localitate_34,0.229314234214159
1047,Judet_8,Localitate_47,2.370715572204307
1078,Judet_9,Localitate_78,1.964169526672259
