Siruta,Localitate,Judet,NrMedici_Privat,NrMedici_Public,PersonalMediu_privat,PersonalMediu_public,MediciFamilie,Total_medici_desc
134942,Puchenii Mari,PH,3,0,6,5,3,6
85680,Sancraieni,HR,3,0,9,0,3,6
151157,Vulturesti,SV,3,0,6,0,3,6
109096,Sisesti,MM,3,0,7,0,3,6
85626,Siculeni,HR,3,0,8,0,3,6
110820,Breznita-Ocol,MH,3,0,5,0,3,6
128374,Oras Potcoava,OT,3,0,3,2,3,6
61121,Castelu,CT,3,0,7,0,3,6
96815,Deleni,IS,3,1,3,14,2,6
24338,Parjol,BC,3,0,2,0,3,6
173748,Stefanesti,VL,3,0,4,0,3,6
63072,Topraisar,CT,3,0,4,1,3,6
127983,Osica De Sus,OT,3,0,3,2,3,6
10453,Conop,AR,3,0,4,0,3,6
127625,Morunglav,OT,3,0,3,1,3,6
10293,Buteni,AR,3,0,4,0,3,6
60632,Limanu,CT,3,0,6,0,3,6
114355,Cristesti,MS,3,0,4,1,3,6
178607,Vanatori,VN,3,0,6,0,3,6
114970,Acatari,MS,3,0,4,4,3,6
115637,Balauseri,MS,3,0,2,0,3,6
151022,Veresti,SV,3,0,10,0,3,6
150766,Vadu Moldovei,SV,2,2,10,9,2,6
108963,Oras Seini,MM,3,0,26,0,3,6
149227,Oras Liteni,SV,3,0,5,0,3,6
42398,Vulcan,BV,2,2,2,18,2,6
84086,Ciumani,HR,3,0,6,0,3,6
177236,Paunesti,VN,3,0,3,0,3,6
84102,Carta,HR,3,0,7,0,3,6
107314,Barsana,MM,3,0,4,1,3,6
107519,Budesti,MM,3,0,6,1,3,6
148729,Frumosu,SV,3,0,4,1,3,6
107733,Copalnic-Manastur,MM,3,0,14,1,3,6
31333,Simian,BH,3,0,4,0,3,6
65752,Petresti,DB,3,0,4,0,3,6
31057,Sambata,BH,3,0,4,0,3,6
65477,Sotanga,DB,3,0,6,0,3,6
108268,Miresu Mare,MM,3,0,7,0,3,6
12340,Simand,AR,3,0,3,0,3,6
149290,Marginea,SV,3,0,8,0,3,6
108794,Sacalaseni,MM,3,0,6,0,3,6
123914,Raucesti,NT,3,0,3,1,3,6
108348,Moisei,MM,3,0,14,0,3,6
43411,Oras Insuratei,BR,3,0,8,0,3,6
64130,Catalina,CV,3,0,4,0,3,6
64041,Bradut,CV,3,0,3,0,3,6
23797,Oituz,BC,3,0,12,0,3,6
150294,Straja,SV,3,0,9,1,3,6
12224,Sepreus,AR,3,0,3,0,3,6
12144,Sagu,AR,3,0,3,0,3,6
108712,Satulung,MM,3,0,8,6,3,6
85412,Remetea,HR,3,0,11,0,3,6
63286,Costinesti,CT,3,0,8,0,3,6
150588,Udesti,SV,3,0,7,0,3,6
173374,Stoilesti,VL,3,0,6,0,3,6
159473,Tomnatic,TM,3,0,4,0,3,6
29724,Ineu,BH,4,0,4,0,2,6
9333,Livada,AR,3,0,5,0,3,6
124849,Urecheni,NT,3,0,2,1,3,6
121732,Borlesti,NT,3,0,13,0,3,6
124634,Tamaseni,NT,3,0,3,4,3,6
157031,Gavojdia,TM,2,2,3,43,2,6
92587,Modelu,CL,3,0,6,4,3,6
27757,Brusturi,BH,3,0,5,0,3,6
137764,Halmeu,SM,3,0,7,0,3,6
49956,Vadu Pasii,BZ,3,0,10,1,3,6
158109,Periam,TM,2,1,7,4,3,6
93370,Dor Marunt,CL,3,0,4,0,3,6
138084,Mediesu Aurit,SM,3,0,6,0,3,6
125061,Zanesti,NT,4,0,1,4,2,6
156259,Cenad,TM,3,0,3,0,3,6
138164,Micula,SM,3,0,4,0,3,6
119974,Valea Larga,MS,3,0,2,1,3,6
157362,Jamu Mare,TM,3,0,4,2,3,6
122463,Dulcesti,NT,2,2,12,3,2,6
66474,Bucsani,DB,3,0,7,17,3,6
92961,Borcea,CL,3,0,7,0,3,6
157530,Lovrin,TM,3,0,5,0,3,6
157781,Moravita,TM,3,0,3,0,3,6
27383,Batar,BH,3,0,4,0,3,6
27436,Biharia,BH,3,0,5,0,3,6
157451,Lenauheim,TM,3,0,6,0,3,6
123674,Podoleni,NT,3,0,1,2,3,6
123521,Pipirig,NT,3,0,1,7,3,6
27560,Borod,BH,3,0,3,0,3,6
2915,Oras Baia De Aries,AB,3,0,4,0,3,6
123424,Petricani,NT,3,0,3,2,3,6
122828,Garcina,NT,3,0,3,3,3,6
158065,Peciu Nou,TM,3,0,7,0,3,6
122668,Gheraesti,NT,3,0,1,2,3,6
124206,Sabaoani,NT,3,0,3,6,3,6
156106,Boldur,TM,3,0,3,0,3,6
53274,Mehadia,CS,3,0,7,0,3,6
138351,Orasu Nou,SM,3,0,5,0,3,6
153204,Mavrodin,TR,3,0,5,0,3,6
154834,Tiganesti,TR,3,0,6,1,3,6
8014,Sugag,AB,3,0,5,1,3,6
54617,Zavoi,CS,3,0,5,0,3,6
136107,Valea Doftanei,PH,3,0,7,0,3,6
153543,Peretu,TR,3,0,7,0,3,6
29403,Finis,BH,3,0,6,0,3,6
152760,Dobrotesti,TR,3,0,5,0,3,6
138431,Paulesti,SM,4,0,6,1,2,6
152038,Babaita,TR,3,0,4,0,3,6
151996,Balaci,TR,1,4,1,13,1,6
116652,Ernei,MS,3,0,4,1,3,6
116493,Danes,MS,3,0,5,0,3,6
46484,Costesti,BZ,3,0,5,2,3,6
46377,Cochirleanca,BZ,3,0,7,1,3,6
170514,Ionesti,VL,3,0,7,0,3,6
136134,Varbilau,PH,3,0,7,0,3,6
87745,Baia De Cris,HD,2,2,4,0,2,6
118691,Panet,MS,3,0,3,0,3,6
118753,Pasareni,MS,4,0,4,0,2,6
158895,Tomesti,TM,3,0,4,0,3,6
158859,Teremia Mare,TM,3,0,4,0,3,6
28941,Curatele,BH,3,0,3,0,3,6
136553,Capleni,SM,3,0,4,0,3,6
93931,Lupsanu,CL,3,0,5,1,3,6
28709,Campani,BH,3,0,6,0,3,6
6271,Poiana Vadului,AB,3,0,1,0,3,6
158779,Sag,TM,3,0,5,0,3,6
158733,Sanpetru Mare,TM,3,0,7,0,3,6
28335,Ceica,BH,4,0,5,0,2,6
49073,Sageata,BZ,3,0,5,1,3,6
119527,Sanpetru De Campie,MS,3,0,3,1,3,6
13935,Albota,AG,3,0,5,0,3,6
12849,Zerind,AR,3,0,3,0,3,6
148612,Oras Frasin,SV,3,0,6,0,3,6
74242,Sopot,DJ,3,0,3,1,3,6
146904,Baia,SV,3,0,4,0,3,6
73923,Robanesti,DJ,4,0,8,0,2,6
176301,Gugesti,VN,3,0,5,0,3,6
132681,Ciorani,PH,3,0,9,0,3,6
176212,Garoafa,VN,3,0,4,0,3,6
17851,Pietrosani,AG,3,0,4,0,3,6
103238,Ghimpati,GR,3,0,5,6,3,6
71885,Cosoveni,DJ,3,0,7,0,3,6
20466,Margineni,BC,4,0,20,0,2,6
33621,Maieru,BN,3,0,8,4,3,6
17968,Poienarii De Muscel,AG,3,0,4,0,3,6
101804,Chirnogi,CL,3,0,6,2,3,6
132315,Banesti,PH,3,0,8,0,3,6
146281,Ipotesti,SV,3,0,8,1,3,6
103862,Ion Roata,IL,3,0,2,0,3,6
73665,Piscu Vechi,DJ,3,0,7,2,3,6
21007,Agas,BC,4,0,6,0,2,6
73567,Ostroveni,DJ,3,0,6,2,3,6
73371,Murgasi,DJ,3,0,5,0,3,6
17254,Mihaesti,AG,3,0,3,0,3,6
81095,Pades,GJ,3,0,3,1,3,6
164393,Ivanesti,VS,3,0,4,0,3,6
72677,Goiesti,DJ,3,0,4,0,3,6
66731,Comisani,DB,3,0,9,0,3,6
72533,Giurgita,DJ,3,0,5,1,3,6
72383,Galicea Mare,DJ,3,0,9,1,3,6
81184,Pestisani,GJ,3,0,3,2,3,6
72034,Desa,DJ,3,0,4,1,3,6
39168,Oras Stefanesti,BT,3,0,5,11,3,6
33248,Feldru,BN,3,0,11,2,3,6
17049,Malureni,AG,3,0,3,0,3,6
102909,Fratesti,GR,3,0,7,1,3,6
102106,Comana,GR,3,0,6,0,3,6
18581,Sapata,AG,3,0,3,0,3,6
33989,Nimigea,BN,3,0,6,1,3,6
167179,Zorleni,VS,3,0,6,1,3,6
102419,Curcani,CL,3,0,7,3,3,6
79834,Crasna,GJ,3,0,3,1,3,6
19141,Suici,AG,3,0,3,16,3,6
19007,Suseni,AG,3,0,4,0,3,6
78016,Dragutesti,GJ,3,0,3,2,3,6
34235,Prundu Bargaului,BN,3,0,16,6,3,6
102348,Crevedia Mare,GR,3,0,6,0,3,6
77402,Umbraresti,GL,3,0,3,0,3,6
35090,Tiha Bargaului,BN,3,0,6,0,3,6
77313,Tudor Vladimirescu,GL,3,0,4,0,3,6
102286,Crevedia,DB,3,0,7,0,3,6
18858,Stoenesti,AG,3,0,4,0,3,6
102240,Cosereni,IL,3,0,8,0,3,6
76601,Ivesti,GL,3,0,7,8,3,6
75221,Draganesti,GL,3,0,5,1,3,6
76317,Frumusita,GL,3,0,5,0,3,6
76157,Cudalbi,GL,3,0,5,0,3,6
102605,Dragomiresti-Vale,IF,3,1,4,1,2,6
143557,Selimbar,SB,3,0,8,0,3,6
36131,Albesti,BT,3,0,10,1,3,6
76040,Cosmesti,GL,3,0,7,1,3,6
75953,Corod,GL,3,0,5,3,3,6
145408,Rosia,SB,3,0,3,0,3,6
75766,Brahasesti,GL,3,0,4,2,3,6
145603,Slimnic,SB,3,0,3,0,3,6
145667,Seica Mare,SB,3,0,2,0,3,6
75515,Barcea,GL,3,0,5,0,3,6
102703,Dridu,IL,2,0,8,0,4,6
75258,Munteni,GL,3,0,5,14,3,6
71910,Cotofenii Din Dos,DJ,3,0,4,1,3,6
147134,Bosanci,SV,3,0,7,0,3,6
142881,Sarmasag,SJ,3,0,5,0,3,6
133394,Fulga,PH,3,0,5,0,3,6
69250,Vacaresti,DB,3,0,5,0,3,6
41088,Harman,BV,3,0,3,1,3,6
31976,Vadu Crisului,BH,4,0,2,0,2,6
148006,Oras Dolhasca,SV,3,0,4,0,3,6
133795,Izvoarele,PH,3,0,7,0,3,6
100148,Vladeni,IS,3,0,2,5,3,6
22898,Helegiu,BC,3,0,4,0,3,6
14851,Budeasa,AG,3,0,4,0,3,6
83151,Bradesti,HR,3,0,6,0,3,6
14584,Bogati,AG,3,0,4,0,3,6
101341,Brezoaele,DB,3,0,8,0,3,6
22781,Garleni,BC,3,0,5,0,3,6
168880,Bujoreni,VL,2,0,5,0,4,6
40606,Bod,BV,3,0,3,0,3,6
41177,Hoghiz,BV,3,0,3,1,3,6
68921,Tatarani,DB,3,0,6,0,3,6
68627,Oras Racari,DB,3,0,8,10,3,6
68468,Potlogi,DB,3,0,8,0,3,6
31921,Uileacu De Beius,BH,3,0,3,0,3,6
41471,Moieciu,BV,3,0,3,0,3,6
67470,Finta,DB,3,0,7,0,3,6
142239,Nusfalau,SJ,3,0,4,8,3,6
23449,Manastirea Casin,BC,3,0,3,0,3,6
67327,Dragodana,DB,3,0,8,0,3,6
148426,Dumbraveni,SV,3,0,8,7,3,6
41854,Sinca,BV,3,0,3,0,3,6
106407,Recea,MM,3,0,9,0,3,6
67256,Darmanesti,DB,3,0,6,0,3,6
98051,Miroslovesti,IS,3,0,4,2,3,6
67014,Cornesti,DB,3,0,11,0,3,6
83981,Ciucsangeorgiu,HR,3,0,6,0,3,6
168791,Budesti,VL,2,0,5,0,4,6
29154,Dobresti,BH,3,0,5,2,3,6
39872,Vorona,BT,2,2,7,3,2,6
82680,Tantareni,GJ,3,0,3,0,3,6
40214,Oras Ghimbav,BV,3,0,3,1,3,6
16132,Cuca,AG,3,0,3,0,3,6
82555,Turburea,GJ,3,0,3,4,3,6
130892,Targsoru Vechi,PH,3,0,8,0,3,6
70520,Afumati,DJ,3,0,4,2,3,6
82430,Oras Tismana,GJ,3,0,7,0,3,6
137960,Lazuri,SM,3,0,4,1,3,6
81861,Scoarta,GJ,3,0,3,1,3,6
147633,Oras Cajvana,SV,3,0,8,0,3,6
105534,Tartasesti,DB,3,0,10,0,3,6
22380,Dofteana,BC,3,0,8,0,3,6
132716,Cocorastii Mislii,PH,3,0,4,0,3,6
104831,Roata De Jos,GR,3,0,10,0,3,6
133214,Filipestii De Targ,PH,3,0,8,5,3,6
147358,Oras Brosteni,SV,3,0,4,0,3,6
116590,Eremitu,MS,2,1,5,7,2,5
141580,Ileanda,SJ,1,3,4,11,1,5
121796,Botesti,NT,1,3,10,2,1,5
67773,Lucieni,DB,3,0,3,0,2,5
105570,Tunari,IF,2,1,3,1,2,5
116545,Deda,MS,2,1,4,10,2,5
70744,Argetoaia,DJ,3,0,7,1,2,5
95159,Holboca,IS,3,0,4,0,2,5
96254,Ciurea,IS,4,0,4,1,1,5
71518,Caraula,DJ,3,0,6,2,2,5
79497,Capreni,GJ,3,1,5,3,1,5
78454,Oras Ticleni,GJ,3,0,8,0,2,5
66768,Contesti,DB,3,0,6,0,2,5
76585,Independenta,GL,3,0,5,0,2,5
69063,Valea Lunga,DB,3,0,3,0,2,5
104751,Radovanu,CL,3,0,3,2,2,5
152500,Cervenia,TR,2,1,3,6,2,5
136848,Oras Ardud,SM,3,0,12,0,2,5
140280,Bobota,SJ,3,0,3,0,2,5
103407,Gradinari,GR,2,1,6,13,2,5
139358,Vetis,SM,3,0,4,0,2,5
103032,Oras Fundulea,CL,3,0,5,0,2,5
74750,Varvoru De Jos,DJ,3,0,5,1,2,5
101984,Clejani,GR,2,1,2,5,2,5
119466,Sanpaul,MS,3,0,5,0,2,5
101145,Berceni,IF,2,1,4,1,2,5
117113,Glodeni,MS,2,1,3,9,2,5
102749,Oras Fierbinti-Targ,IL,3,0,7,0,2,5
108400,Ocna Sugatag,MM,3,0,12,9,2,5
99370,Sipote,IS,2,2,2,19,1,5
80766,Logresti,GJ,2,1,2,6,2,5
154754,Trivalea-Mosteni,TR,3,0,4,1,2,5
111444,Cujmir,MH,2,2,2,10,1,5
64942,Valcele,CV,3,0,3,0,2,5
89240,Certeju De Sus,HD,3,0,4,0,2,5
123790,Poiana Teiului,NT,3,0,3,2,2,5
11352,Iratosu,AR,3,0,3,0,2,5
15313,Cepari,AG,3,0,3,0,2,5
29001,Curtuiseni,BH,3,0,1,0,2,5
47337,Magura,BZ,1,3,4,39,1,5
18331,Ratesti,AG,3,0,3,0,2,5
38982,Suharau,BT,2,1,4,5,2,5
174218,Voicesti,VL,2,1,2,0,2,5
17209,Micesti,AG,3,0,3,0,2,5
36756,Corni,BT,3,0,8,0,2,5
170346,Gradistea,VL,3,0,7,0,2,5
26742,Astileu,BH,3,0,5,0,2,5
13524,Valea Mare Pravat,AG,3,0,4,1,2,5
160644,Jurilovca,TL,2,1,9,0,2,5
168229,Alunu,VL,3,0,3,0,2,5
162381,Bacesti,VS,1,3,1,22,1,5
172340,Pietrari,VL,2,1,4,0,2,5
30274,Osorhei,BH,3,0,4,0,2,5
13365,Maracineni,AG,4,0,5,0,1,5
10006,Birchis,AR,1,3,3,10,1,5
16659,Hartiesti,AG,4,0,3,0,1,5
41818,Sercaia,BV,2,1,2,13,2,5
21506,Blagesti,BC,3,0,4,1,2,5
176506,Jaristea,VN,2,1,3,1,2,5
161179,Sarichioi,TL,3,0,5,8,2,5
27285,Avram Iancu,BH,3,0,2,0,2,5
38161,Mihaileni,BT,2,1,5,6,2,5
169681,Fartatesti,VL,2,1,3,0,2,5
35946,Oras Darabani,BT,3,0,26,4,2,5
28497,Cherechiu,BH,3,0,5,0,2,5
11539,Paulis,AR,3,0,3,2,2,5
39328,Trusesti,BT,3,0,6,9,2,5
34985,Teaca,BN,2,1,9,10,2,5
12126,Socodor,AR,3,0,5,0,2,5
135725,Teisani,PH,2,0,4,0,2,4
135789,Telega,PH,2,0,5,0,2,4
135896,Tomsani,PH,2,0,5,0,2,4
173061,Slatioara,VL,2,0,4,0,2,4
173533,Stroesti,VL,2,0,5,0,2,4
172457,Prundeni,VL,2,0,4,0,2,4
173230,Stoenesti,VL,2,0,4,0,2,4
94768,Vlad Tepes,CL,2,0,5,0,2,4
172812,Runcu,VL,2,0,4,0,2,4
172894,Salatrucel,VL,2,0,4,0,2,4
25228,Saucesti,BC,2,0,6,0,2,4
26029,Urechesti,BC,2,0,2,1,2,4
25932,Ungureni,BC,1,2,2,17,1,4
26289,Zemes,BC,2,0,2,0,2,4
94376,Saveni,IL,2,0,5,0,2,4
92989,Bordusani,IL,2,0,4,0,2,4
170952,Lungesti,VL,2,0,4,0,2,4
138280,Odoreu,SM,2,0,4,2,2,4
138208,Moftin,SM,2,0,2,0,2,4
91731,General Berthelot,HD,2,0,1,0,2,4
91795,Vata De Jos,HD,2,0,2,0,2,4
91982,Vetel,HD,2,0,1,0,2,4
27846,Budureasa,BH,2,0,0,1,2,4
27631,Bors,BH,2,0,5,0,2,4
171539,Muereasca,VL,2,0,3,0,2,4
171628,Nicolae Balcescu,VL,2,0,8,0,2,4
137844,Hodod,SM,2,0,2,0,2,4
94312,Roseti,CL,2,0,3,0,2,4
137675,Dorolt,SM,2,0,4,0,2,4
93281,Cuza Voda,CL,2,0,4,0,2,4
171931,Otesani,VL,2,0,6,0,2,4
93575,Facaeni,IL,2,0,4,2,2,4
93664,Gradistea,CL,2,0,4,0,2,4
171995,Pausesti,VL,2,0,4,0,2,4
172082,Pausesti-Maglasi,VL,2,0,3,0,2,4
93995,Mihail Kogalniceanu,IL,2,0,5,0,2,4
94107,Munteni-Buzau,IL,2,0,6,0,2,4
94269,Reviga,IL,3,0,1,0,1,4
95872,Belcesti,IS,3,0,5,0,1,4
97090,Golaiesti,IS,2,0,2,0,2,4
95943,Bivolari,IS,2,1,3,12,1,4
22576,Filipesti,BC,2,0,3,27,2,4
99478,Tatarusi,IS,2,0,2,2,2,4
99673,Tibana,IS,2,0,2,0,2,4
99780,Tibanesti,IS,2,0,2,6,2,4
133722,Iordacheanu,PH,2,0,4,0,2,4
99922,Tutora,IS,2,0,1,0,2,4
100004,Victoria,IS,2,0,2,0,2,4
100086,Vanatori,IS,2,0,2,0,2,4
174254,Voineasa,VL,2,0,0,0,2,4
100219,Voinesti,IS,2,0,2,0,2,4
133562,Gornet,PH,2,0,5,0,2,4
174290,Zatreni,VL,2,0,6,0,2,4
22941,Horgesti,BC,2,0,4,0,2,4
100638,Mitreni,CL,2,0,6,0,2,4
96003,Ungheni,IS,2,0,2,0,2,4
22460,Faraoani,BC,2,0,4,0,2,4
174780,Campineanca,VN,2,0,4,0,2,4
100736,Manasia,IL,2,0,4,0,2,4
133090,Dumbrava,PH,2,0,4,0,2,4
174824,Golesti,VN,2,0,2,0,2,4
21855,Cleja,BC,2,0,4,0,2,4
21757,Caiuti,BC,2,0,2,0,2,4
21668,Buhoci,BC,2,0,5,0,2,4
132805,Cornu,PH,2,0,4,0,2,4
21560,Bogdanesti,BC,2,0,1,0,2,4
101001,Baneasa,GR,2,0,6,0,2,4
132752,Colceag,PH,2,0,4,0,2,4
174156,Vladesti,VL,2,0,3,0,2,4
99209,Strunga,IS,2,0,3,0,2,4
99101,Siretel,IS,2,0,2,0,2,4
99058,Sinesti,IS,2,0,2,0,2,4
1071,Ciugud,AB,2,0,2,0,2,4
135431,Sirna,PH,2,0,3,0,2,4
24276,Pargaresti,BC,2,0,2,1,2,4
96888,Dobrovat,IS,2,0,2,0,2,4
24089,Parincea,BC,2,0,3,10,2,4
91232,Santamaria-Orlea,HD,2,0,2,0,2,4
24034,Parava,BC,2,0,2,0,2,4
97438,Halaucesti,IS,2,0,4,2,2,4
135020,Rafov,PH,2,0,4,0,2,4
23975,Palanca,BC,2,0,2,0,2,4
173793,Susani,VL,2,0,3,0,2,4
97875,Mironeasa,IS,2,0,2,1,2,4
173855,Tetoiu,VL,2,0,4,0,2,4
173935,Tomsani,VL,2,0,4,0,2,4
134443,Podenii Noi,PH,2,0,4,0,2,4
134194,Manesti,PH,2,0,4,0,2,4
98300,Oteleni,IS,2,0,2,0,2,4
174021,Vaideeni,VL,2,0,4,0,2,4
98505,Popricani,IS,2,0,1,0,2,4
98603,Prisacani,IS,2,0,2,0,2,4
23350,Luizi-Calugara,BC,2,0,3,0,2,4
134050,Magureni,PH,2,0,10,0,2,4
98827,Schitu Duca,IS,3,0,2,0,1,4
133964,Lipanesti,PH,2,0,3,0,2,4
98998,Scobinti,IS,2,0,1,0,2,4
91330,Soimus,HD,2,0,2,0,2,4
157585,Margina,TM,2,0,2,1,2,4
91116,Salasu De Sus,HD,2,0,3,0,2,4
80123,Danesti,GJ,2,0,3,0,2,4
33541,Livezile,BN,2,0,4,1,2,4
80711,Licurici,GJ,2,0,2,0,2,4
33435,Lechinta,BN,2,0,5,2,2,4
33382,Josenii Bargaului,BN,2,0,5,0,2,4
80908,Musetesti,GJ,2,0,2,0,2,4
168130,Oras Ocnele Mari,VL,2,0,5,0,2,4
81264,Plopsoru,GJ,2,0,3,1,2,4
81380,Polovragi,GJ,2,0,3,0,2,4
81415,Prigoria,GJ,2,0,3,2,2,4
33202,Dumitra,BN,2,0,6,0,2,4
168602,Oras Berbesti,VL,2,0,10,0,2,4
81987,Schela,GJ,2,0,2,0,2,4
82047,Slivilesti,GJ,2,0,3,0,2,4
82136,Stanesti,GJ,2,0,2,1,2,4
82396,Telesti,GJ,2,0,2,2,2,4
32811,Caianu Mic,BN,2,0,3,1,2,4
168675,Berislavesti,VL,2,0,3,0,2,4
32704,Budacu De Jos,BN,2,0,3,0,2,4
32660,Branistea,BN,2,0,5,0,2,4
82733,Urdari,GJ,2,0,2,0,2,4
82779,Vagiulesti,GJ,2,0,1,1,2,4
82831,Vladimir,GJ,2,0,2,0,2,4
32633,Bistrita Bargaului,BN,2,0,4,0,2,4
169039,Cernisoara,VL,1,1,5,0,2,4
83197,Feliceni,HR,2,0,6,3,2,4
143487,Cristian,SB,2,0,3,0,2,4
34173,Petru Rares,BN,2,0,6,1,2,4
90994,Romos,HD,2,0,3,0,2,4
79932,Cruset,GJ,2,0,3,0,2,4
144731,Laslea,SB,2,0,2,0,2,4
144713,Jina,SB,2,0,2,0,2,4
77126,Scanteiesti,GL,2,0,2,0,2,4
77180,Slobozia Conachi,GL,2,0,5,0,2,4
77224,Smardan,GL,2,0,4,0,2,4
144599,Gura Raului,SB,2,0,3,0,2,4
77331,Tulucesti,GL,2,0,4,0,2,4
35054,Telciu,BN,2,0,4,0,2,4
77475,Valea Marului,GL,2,0,2,0,2,4
144198,Biertan,SB,2,0,2,7,2,4
78089,Turcinesti,GJ,2,0,3,0,2,4
34690,Sieu-Magherus,BN,2,0,5,0,2,4
34645,Sieu,BN,2,0,4,0,2,4
144116,Axente Sever,SB,2,0,3,0,2,4
78542,Alimpesti,GJ,2,0,2,0,2,4
78604,Aninoasa,GJ,2,0,4,1,2,4
78711,Baia De Fier,GJ,2,0,4,0,2,4
78873,Bengesti-Ciocadia,GJ,2,0,2,0,2,4
79077,Bolbosi,GJ,2,0,4,0,2,4
79157,Borascu,GJ,2,0,3,0,2,4
79237,Branesti,GJ,2,0,3,0,2,4
34333,Rodna,BN,2,0,6,2,2,4
79585,Catunele,GJ,2,0,2,1,2,4
34280,Rebrisoara,BN,2,0,5,0,2,4
143771,Oras Copsa Mica,SB,2,0,7,0,2,4
83428,Oras Baile Tusnad,HR,3,0,17,0,1,4
169253,Costesti,VL,2,0,5,0,2,4
31878,Tetchea,BH,2,0,2,2,2,4
142284,Pericei,SJ,2,0,3,16,2,4
30149,Nojorid,BH,2,0,4,0,2,4
86936,Teliucu Inferior,HD,2,0,2,0,2,4
30014,Madaras,BH,2,0,2,0,2,4
29760,Lazuri De Beius,BH,2,0,6,0,2,4
87219,Oras Aninoasa,HD,2,0,3,14,2,4
29662,Husasau De Tinca,BH,2,0,4,0,2,4
87362,Criscior,HD,2,0,4,0,2,4
29573,Holod,BH,2,0,2,0,2,4
29519,Hidiselu De Sus,BH,2,0,5,0,2,4
29467,Girisu De Cris,BH,2,0,3,0,2,4
140324,Bocsa,SJ,2,0,4,0,2,4
88092,Baita,HD,2,0,2,0,2,4
88261,Beriu,HD,2,0,4,0,2,4
28763,Cociuba Mare,BH,2,0,5,0,2,4
28665,Ciumeghiu,BH,2,0,3,17,2,4
28610,Ciuhoi,BH,2,0,3,0,2,4
28530,Chislaz,BH,2,0,4,0,2,4
89428,Dobra,HD,2,0,4,0,2,4
89856,Ilia,HD,2,0,4,0,2,4
28415,Cetariu,BH,2,0,2,0,2,4
139107,Tiream,SM,2,0,2,0,2,4
28246,Cefa,BH,2,0,5,0,2,4
139009,Tarna Mare,SM,2,0,2,0,2,4
90538,Pui,HD,2,0,4,0,2,4
138618,Pomi,SM,2,0,4,0,2,4
30416,Pocola,BH,2,0,4,0,2,4
86339,Voslabeni,HR,2,0,2,0,2,4
86222,Ulies,HR,2,0,3,0,2,4
30988,Salacea,BH,3,0,0,0,1,4
31841,Tulca,BH,2,0,2,0,2,4
169351,Daesti,VL,2,0,3,0,2,4
169404,Danicei,VL,2,0,3,0,2,4
31510,Suncuius,BH,2,0,4,1,2,4
84237,Danesti,HR,2,0,7,1,2,4
84264,Dealu,HR,2,0,4,0,2,4
31208,Spinus,BH,2,0,4,0,2,4
84415,Frumoasa,HR,2,0,6,28,2,4
84558,Joseni,HR,2,0,9,2,2,4
84594,Lazarea,HR,2,0,5,0,2,4
84656,Lunca De Jos,HR,2,0,8,0,2,4
85127,Mugeni,HR,2,0,6,0,2,4
85920,Suseni,HR,2,0,11,0,2,4
85289,Plaiesii De Jos,HR,2,0,5,0,2,4
30871,Sacadat,BH,2,0,2,0,2,4
169896,Francesti,VL,2,0,4,0,2,4
141447,Hida,SJ,2,0,4,1,2,4
85528,Sarmas,HR,2,0,5,1,2,4
141376,Hereclean,SJ,2,0,3,1,2,4
169994,Galicea,VL,2,0,3,0,2,4
30648,Rabagani,BH,2,0,4,0,2,4
85760,Sandominic,HR,2,0,6,0,2,4
85788,Sanmartin,HR,2,0,6,0,2,4
85840,Sansimion,HR,2,0,3,0,2,4
101083,Belciugatele,CL,2,0,5,0,2,4
132574,Cerasu,PH,2,0,4,0,2,4
21338,Beresti-Tazlau,BC,2,0,5,0,2,4
115520,Batos,MS,2,0,2,0,2,4
114453,Santana De Mures,MS,3,0,5,0,1,4
10104,Barzava,AR,2,0,4,0,2,4
114603,Albesti,MS,2,0,2,0,2,4
9887,Bata,AR,2,0,3,0,2,4
178689,Vartescoiu,VN,2,0,2,0,2,4
9798,Apateu,AR,2,0,3,0,2,4
115076,Adamus,MS,2,0,3,0,2,4
115147,Alunis,MS,2,0,2,0,2,4
127064,Ganeasa,OT,2,0,3,1,2,4
127019,Farcasele,OT,2,0,2,0,2,4
126978,Falcoiu,OT,2,0,3,7,2,4
115389,Band,MS,2,0,3,1,2,4
9743,Almas,AR,2,0,2,0,2,4
111275,Corcova,MH,2,0,4,3,2,4
126647,Deveselu,OT,2,0,4,2,2,4
9360,Sofronea,AR,2,0,2,0,2,4
126585,Daneasa,OT,2,0,2,1,2,4
126503,Cungrea,OT,2,0,3,1,2,4
126433,Curtisoara,OT,2,0,3,0,2,4
116288,Craciunesti,MS,2,0,4,0,2,4
126326,Corbu,OT,2,0,3,1,2,4
8826,Vintu De Jos,AB,2,0,3,1,2,4
8354,Valea Lunga,AB,2,0,3,0,2,4
8158,Unirea,AB,2,0,4,0,2,4
126148,Cilieni,OT,2,0,2,1,2,4
116938,Ganesti,MS,2,0,3,0,2,4
10195,Bocsig,AR,2,0,2,0,2,4
10373,Cermei,AR,2,0,2,0,2,4
127224,Grojdibodu,OT,2,0,3,1,2,4
127251,Ianca,OT,2,0,2,1,2,4
111480,Devesel,MH,2,0,4,1,2,4
128864,Seaca,OT,2,0,2,1,2,4
178117,Tulnici,VN,2,0,2,0,2,4
178180,Tifesti,VN,2,0,3,0,2,4
111783,Garla Mare,MH,2,0,4,3,2,4
