Siruta,Judet,Localitate,PersonalMediu_privat,PersonalMediu_public
53425,CS,Paltinis,4,0
53489,CS,Coronini,1,0
53513,CS,Pojejena,1,0
53577,CS,Prigor,1,0
53639,CS,Ramna,1,0
53675,CS,Racasdia,2,0
53700,CS,Eftimie Murgu,2,0
53728,CS,Rusca Montana,2,0
53755,CS,Sacu,2,3
53791,CS,Sasca Montana,1,0
53853,CS,Sichevita,1,0
54056,CS,Slatina-Timis,4,0
54109,CS,Socol,1,0
54163,CS,Sopotu Nou,2,0
54270,CS,Teregova,2,0
54305,CS,Ticvaniu Mare,1,0
54350,CS,Tarnova,0,0
54387,CS,Toplet,3,0
54412,CS,Turnu Ruieni,3,0
54485,CS,Valiug,1,0
54500,CS,Varadia,1,0
54537,CS,Vermes,1,0
54573,CS,Vrani,0,0
54617,CS,Zavoi,5,0
54699,CS,Zorlentu Mare,1,0
54975,CJ,Municipiul Cluj-Napoca,0,0
55008,CJ,Municipiul Dej,0,0
55062,CJ,Cuzdrioara,0,0
55106,CJ,Jichisu De Jos,0,0
55160,CJ,Mica,0,0
55259,CJ,Municipiul Turda,0,0
55277,CJ,Mihai Viteazu,0,0
55311,CJ,Sandulesti,0,0
55357,CJ,Municipiul Campia Turzii,0,0
55384,CJ,Municipiul Gherla,0,0
55446,CJ,Oras Huedin,0,0
55473,CJ,Aghiresu,0,0
55598,CJ,Aiton,0,0
55623,CJ,Alunis,0,0
55687,CJ,Apahida,0,0
55776,CJ,Aschileu,0,0
55838,CJ,Baciu,0,0
55918,CJ,Baisoara,0,0
56014,CJ,Belis,0,0
56096,CJ,Bobalna,0,0
56210,CJ,Bontida,0,0
56265,CJ,Borsa,0,0
56327,CJ,Buza,0,0
56354,CJ,Caianu,0,0
56425,CJ,Calarasi,0,0
56461,CJ,Calatele,0,0
56522,CJ,Camarasu,0,0
56568,CJ,Capusu Mare,0,0
56666,CJ,Caseiu,0,0
56773,CJ,Catina,0,0
56844,CJ,Ceanu Mare,0,0
56988,CJ,Chinteni,0,0
57083,CJ,Chiuiesti,0,0
57163,CJ,Ciucea,0,0
57225,CJ,Ciurila,0,0
57314,CJ,Catcau,0,0
57350,CJ,Cojocna,0,0
57449,CJ,Cornesti,0,0
57546,CJ,Dabaca,0,0
57582,CJ,Feleacu,0,0
57644,CJ,Fizesu Gherlii,0,0
57706,CJ,Floresti,0,0
57742,CJ,Frata,0,0
57831,CJ,Geaca,0,0
57902,CJ,Gilau,0,0
57948,CJ,Garbau,0,0
58008,CJ,Iara,0,0
58142,CJ,Iclod,0,0
58204,CJ,Izvoru Crisului,0,0
58259,CJ,Jucu,0,0
58311,CJ,Luna,0,0
58357,CJ,Maguri-Racatau,0,0
58393,CJ,Manastireni,0,0
58464,CJ,Margau,0,0
58534,CJ,Marisel,0,0
58552,CJ,Mintiu Gherlii,0,0
58623,CJ,Mociu,0,0
58721,CJ,Moldovenesti,0,0
58794,CJ,Palatca,0,0
58856,CJ,Panticeu,0,0
58918,CJ,Petrestii De Jos,0,0
58990,CJ,Ploscos,0,0
59041,CJ,Poieni,0,0
59130,CJ,Recea-Cristur,0,0
59238,CJ,Risca,0,0
59283,CJ,Sacuieu,0,0
59327,CJ,Savadisla,0,0
59416,CJ,Sic,0,0
59434,CJ,Sancraiu,0,0
59498,CJ,Sanmartin,0,0
59586,CJ,Sanpaul,0,0
59657,CJ,Suatu,0,0
59693,CJ,Tritenii De Jos,0,0
59764,CJ,Tureni,0,0
59826,CJ,Taga,0,0
59880,CJ,Unguras,0,0
59942,CJ,Vad,0,0
60026,CJ,Valea Ierii,0,0
60062,CJ,Viisoara,0,0
60099,CJ,Vultureni,0,0
60169,CJ,Negreni,0,0
60419,CT,Municipiul Constanta,1570,1497
60455,CT,Oras Eforie,47,100
60482,CT,Municipiul Mangalia,60,259
60507,CT,Oras Navodari,29,26
60534,CT,Oras Techirghiol,30,167
60570,CT,Agigea,10,43
60598,CT,23-Aug,7,0
60632,CT,Limanu,6,0
60687,CT,Oras Ovidiu,53,0
60721,CT,Tuzla,11,0
60776,CT,Oras Cernavoda,17,59
60801,CT,Oras Harsova,15,47
60847,CT,Municipiul Medgidia,52,176
60883,CT,Adamclisi,4,0
60945,CT,Albesti,1,0
61005,CT,Aliman,2,0
61069,CT,Oras Baneasa,4,0
61121,CT,Castelu,7,0
61167,CT,Cerchezu,1,0
61210,CT,Chirnogeni,6,0
61256,CT,Ciobanu,3,0
61283,CT,Ciocarlia,1,0
61318,CT,Cobadin,12,8
61372,CT,Cogealac,16,1
61452,CT,Comana,5,0
61513,CT,Corbu,6,0
61559,CT,Crucea,3,0
61620,CT,Cumpana,14,9
61675,CT,Deleni,1,1
61737,CT,Dobromir,1,1
61808,CT,Garliciu,0,0
61826,CT,Ghindaresti,2,0
61871,CT,Independenta,2,0
61951,CT,Ion Corvin,2,0
62020,CT,Istria,4,0
62057,CT,Lipnita,1,1
62137,CT,Mereni,1,0
62191,CT,Mihail Kogalniceanu,21,0
62253,CT,Mihai Viteazu,4,0
62280,CT,Mircea Voda,3,0
62360,CT,Oras Murfatlar,14,2
62397,CT,Oras Negru Voda,6,20
62440,CT,Nicolae Balcescu,5,0
62486,CT,Oltina,1,0
62538,CT,Ostrov,2,1
62609,CT,Pantelimon,1,0
62672,CT,Pecineaga,3,0
62707,CT,Pestera,2,0
62761,CT,Poarta Alba,5,43
62798,CT,Rasova,2,0
62823,CT,Saraiu,1,0
62878,CT,Sacele,1,0
62903,CT,Seimeni,0,0
62949,CT,Silistea,2,0
62985,CT,Targusor,1,0
63045,CT,Topalu,1,0
63072,CT,Topraisar,4,1
63125,CT,Valu Lui Traian,20,0
63152,CT,Lumina,21,0
63161,CT,Dumbraveni,0,0
63170,CT,Vulturu,1,0
63189,CT,Tortoman,1,0
63198,CT,Amzacea,3,0
63278,CT,Horia,0,0
63286,CT,Costinesti,8,0
63294,CT,Baraganu,2,0
63300,CT,Cuza Voda,2,0
63318,CT,Saligny,0,0
63326,CT,Gradina,0,0
63334,CT,Fantanele,1,0
63394,CV,Municipiul Sfantu Gheorghe,195,488
63447,CV,Oras Baraolt,18,90
63526,CV,Oras Covasna,32,180
63553,CV,Comandau,1,0
63580,CV,Oras Intorsura Buzaului,9,37
63633,CV,Barcani,2,0
63688,CV,Sita Buzaului,3,0
63740,CV,Municipiul Targu Secuiesc,48,151
63777,CV,Aita Mare,1,0
63802,CV,Batani,4,0
63866,CV,Belin,2,0
63893,CV,Bodoc,2,0
63937,CV,Borosneu Mare,2,0
64005,CV,Brates,1,0
64041,CV,Bradut,3,0
64096,CV,Bretcu,3,0
64130,CV,Catalina,4,0
64194,CV,Cernat,3,0
64238,CV,Chichis,2,0
64265,CV,Dobarlau,1,0
64318,CV,Ghelinta,2,0
64345,CV,Ghidfalau,2,0
64390,CV,Haghig,2,1
64425,CV,Ilieni,3,0
64461,CV,Lemnia,1,0
64504,CV,Malnas,1,0
64568,CV,Moacsa,1,0
64602,CV,Ojdula,1,0
64639,CV,Ozun,2,0
64719,CV,Poian,2,0
64773,CV,Reci,2,0
64826,CV,Sanzieni,3,0
64871,CV,Turia,3,0
64906,CV,Valea Crisului,2,0
64942,CV,Valcele,3,0
64997,CV,Varghis,2,0
65011,CV,Zagon,2,0
65048,CV,Zabala,2,0
65099,CV,Valea Mare,1,0
65105,CV,Mereni,0,0
65113,CV,Arcus,1,0
65121,CV,Bixad,2,0
65139,CV,Micfalau,1,0
65147,CV,Dalnic,0,0
65154,CV,Estelnic,2,0
65342,DB,Municipiul Targoviste,497,1186
65379,DB,Aninoasa,7,0
65413,DB,Doicesti,4,0
65431,DB,Razvad,10,0
65477,DB,Sotanga,6,0
65501,DB,Ulmi,3,0
65609,DB,Oras Fieni,12,0
65645,DB,Motaieni,2,0
65681,DB,Oras Gaesti,44,96
65707,DB,Gura Foii,3,0
65752,DB,Petresti,4,0
65841,DB,Municipiul Moreni,48,97
65869,DB,Iedera,3,0
65921,DB,Oras Pucioasa,32,152
66009,DB,Branesti,10,0
66081,DB,Oras Titu,24,8
66152,DB,Branistea,5,0
66198,DB,Baleni,7,0
66223,DB,Barbuletu,4,0
66330,DB,Bezdead,3,0
66401,DB,Bilciuresti,1,0
66438,DB,Buciumeni,3,0
66474,DB,Bucsani,7,17
66526,DB,Candesti,2,0
66580,DB,Cobia,3,0
66697,DB,Cojasca,3,0
66731,DB,Comisani,9,0
66768,DB,Contesti,6,0
66857,DB,Corbii Mari,9,0
66955,DB,Cornatelu,3,0
67014,DB,Cornesti,11,0
67121,DB,Costestii Din Vale,2,0
67167,DB,Crangurile,2,0
67256,DB,Darmanesti,6,0
67292,DB,Dobra,4,0
67327,DB,Dragodana,8,0
67407,DB,Dragomiresti,9,0
67470,DB,Finta,7,0
67522,DB,Glodeni,2,0
67595,DB,Gura Ocnitei,6,147
67648,DB,Gura Sutii,3,0
67675,DB,Hulubesti,3,0
67737,DB,I. L. Caragiale,5,0
67773,DB,Lucieni,3,0
67835,DB,Ludesti,3,0
67906,DB,Lunguletu,5,0
67942,DB,Malu Cu Flori,2,0
68002,DB,Manesti,5,0
68048,DB,Matasaru,6,0
68128,DB,Mogosani,4,0
68182,DB,Moroeni,4,32
68253,DB,Morteni,2,0
68280,DB,Nucet,6,0
68324,DB,Ocnita,4,0
68342,DB,Odobesti,6,0
68404,DB,Pietrosita,4,0
68431,DB,Poiana,3,0
68468,DB,Potlogi,8,0
68529,DB,Produlesti,3,0
68565,DB,Pucheni,2,0
68627,DB,Oras Racari,8,10
68716,DB,Runcu,3,0
68789,DB,Salcioara,4,0
68887,DB,Selaru,2,0
68921,DB,Tatarani,6,0
68976,DB,Uliesti,2,0
69063,DB,Valea Lunga,3,0
69170,DB,Valea Mare,2,0
69250,DB,Vacaresti,5,0
69303,DB,Valeni-Dambovita,3,0
69330,DB,Visina,2,0
69394,DB,Visinesti,2,0
69447,DB,Varfuri,2,0
69526,DB,Voinesti,12,7
69615,DB,Vulcana-Bai,3,0
69900,DJ,Municipiul Craiova,1900,2337
69964,DJ,Bucovat,11,35
70094,DJ,Isalnita,12,2
70110,DJ,Podari,12,1
70174,DJ,Simnicu De Sus,7,0
70316,DJ,Municipiul Bailesti,52,84
70352,DJ,Municipiul Calafat,60,179
70414,DJ,Oras Filiasi,47,87
70502,DJ,Oras Segarcea,22,62
70520,DJ,Afumati,4,2
70566,DJ,Almaj,5,0
70637,DJ,Amarastii De Jos,17,10
70673,DJ,Amarastii De Sus,3,2
70726,DJ,Apele Vii,4,1
70744,DJ,Argetoaia,7,1
70879,DJ,Oras Bechet,14,21
70897,DJ,Bistret,3,1
70940,DJ,Barca,3,1
70968,DJ,Botosesti-Paia,2,1
70986,DJ,Brabova,2,6
71055,DJ,Bradesti,9,1
71126,DJ,Bralostita,4,1
71199,DJ,Bratovoesti,5,3
71260,DJ,Breasta,4,1
71340,DJ,Bulzesti,7,0
71457,DJ,Calopar,6,2
71518,DJ,Caraula,6,2
71536,DJ,Carpen,5,1
71572,DJ,Castranova,3,1
71607,DJ,Calarasi,4,1
71634,DJ,Celaru,7,1
71698,DJ,Cerat,4,0
71723,DJ,Cernatesti,3,1
71787,DJ,Cetate,5,15
71812,DJ,Cioroiasi,2,0
71858,DJ,Ciupercenii Noi,9,2
71885,DJ,Cosoveni,7,0
71910,DJ,Cotofenii Din Dos,4,1
71956,DJ,Daneti,13,1
72007,DJ,Oras Dabuleni,22,40
72034,DJ,Desa,4,1
72052,DJ,Diosti,5,29
72098,DJ,Dobresti,3,1
72150,DJ,Dragotesti,7,0
72221,DJ,Dranic,4,0
72276,DJ,Farcas,4,1
72383,DJ,Galicea Mare,9,1
72409,DJ,Ghercesti,3,0
72463,DJ,Gighera,3,0
72506,DJ,Giubega,3,1
72533,DJ,Giurgita,5,1
72579,DJ,Gangiova,5,2
72604,DJ,Gogosu,1,0
72640,DJ,Goicea,5,1
72677,DJ,Goiesti,4,0
72819,DJ,Grecesti,4,1
72882,DJ,Izvoare,2,0
72926,DJ,Leu,9,1
72953,DJ,Lipovu,4,0
72980,DJ,Macesu De Jos,2,1
73013,DJ,Macesu De Sus,3,0
73031,DJ,Maglavit,9,1
73068,DJ,Malu Mare,10,1
73102,DJ,Melinesti,8,22
73246,DJ,Mischii,5,0
73317,DJ,Marsani,6,1
73335,DJ,Motatei,7,1
73371,DJ,Murgasi,5,0
73460,DJ,Negoi,2,2
73503,DJ,Orodel,3,0
73567,DJ,Ostroveni,6,2
73594,DJ,Perisor,4,0
73629,DJ,Pielesti,16,1
73665,DJ,Piscu Vechi,7,2
73709,DJ,Plenita,15,13
73736,DJ,Poiana Mare,16,125
73772,DJ,Predesti,5,2
73852,DJ,Radovan,5,0
73905,DJ,Rast,7,2
73923,DJ,Robanesti,8,0
73996,DJ,Sadova,12,10
74028,DJ,Salcuta,1,0
74073,DJ,Scaesti,2,0
74108,DJ,Seaca De Camp,2,1
74135,DJ,Seaca De Padure,2,0
74171,DJ,Secu,2,1
74224,DJ,Silistea Crucii,2,1
74242,DJ,Sopot,3,1
74322,DJ,Teasc,7,0
74359,DJ,Terpezita,3,0
74411,DJ,Teslui,3,0
74509,DJ,Tuglui,9,0
74536,DJ,Unirea,4,1
74554,DJ,Urzicuta,6,2
74581,DJ,Valea Stanciului,11,1
74616,DJ,Vela,3,0
74705,DJ,Verbita,2,1
74732,DJ,Vartop,2,1
74750,DJ,Varvoru De Jos,5,1
74842,DJ,Catane,3,0
74859,DJ,Carcea,6,0
74867,DJ,Carna,2,0
74875,DJ,Cotofenii Din Fata,4,1
74883,DJ,Dobrotesti,4,1
74891,DJ,Galiciuica,1,0
74907,DJ,Ghidici,3,1
74915,DJ,Ghindeni,3,0
74923,DJ,Intorsura,1,0
74931,DJ,Plesoi,1,0
74949,DJ,Rojiste,2,0
74956,DJ,Talpas,2,0
75098,GL,Municipiul Galati,696,2050
75114,GL,Sendreni,3,0
75150,GL,Vanatori,4,0
75203,GL,Municipiul Tecuci,76,210
75221,GL,Draganesti,5,1
75258,GL,Munteni,5,14
75338,GL,Oras Beresti,2,0
75356,GL,Beresti-Meria,2,1
75472,GL,Oras Targu Bujor,5,46
75515,GL,Barcea,5,0
75542,GL,Balabanesti,2,1
75613,GL,Balasesti,2,0
75668,GL,Baleni,2,0
75686,GL,Baneasa,2,0
75711,GL,Branistea,2,0
75766,GL,Brahasesti,4,2
75819,GL,Buciumeni,2,0
75864,GL,Cavadinesti,0,8
75917,GL,Certesti,2,0
75953,GL,Corod,5,3
76004,GL,Corni,1,0
76040,GL,Cosmesti,7,1
76111,GL,Costache Negri,2,0
76139,GL,Cuca,2,1
76157,GL,Cudalbi,5,0
76175,GL,Draguseni,4,0
76255,GL,Fartanesti,4,0
76282,GL,Foltesti,2,0
76317,GL,Frumusita,5,0
76353,GL,Fundeni,4,0
76406,GL,Ghidigeni,4,1
76497,GL,Gohor,1,0
76558,GL,Grivita,3,0
76585,GL,Independenta,5,0
76601,GL,Ivesti,7,8
76638,GL,Jorasti,1,0
76674,GL,Liesti,8,0
76692,GL,Matca,7,1
76718,GL,Mastacani,4,1
76745,GL,Movileni,4,0
76763,GL,Namoloasa,2,0
76807,GL,Nicoresti,3,0
76932,GL,Oancea,2,0
76969,GL,Pechea,8,7
76996,GL,Piscu,4,0
77028,GL,Priponesti,2,0
77082,GL,Rediu,2,0
77126,GL,Scanteiesti,2,0
77153,GL,Schela,2,3
77180,GL,Slobozia Conachi,5,0
77224,GL,Smardan,4,0
77260,GL,Smulti,1,0
77288,GL,Suceveni,2,0
77313,GL,Tudor Vladimirescu,4,0
77331,GL,Tulucesti,4,0
77377,GL,Tepu,2,0
77402,GL,Umbraresti,3,0
77475,GL,Valea Marului,2,0
77509,GL,Varlezi,2,0
77536,GL,Vladesti,2,0
77561,GL,Radesti,1,0
77579,GL,Negrilesti,1,0
77587,GL,Poiana,2,0
77595,GL,Cuza Voda,2,0
77601,GL,Suhurlui,0,0
77812,GJ,Municipiul Targu Jiu,363,732
77910,GJ,Balesti,5,0
78016,GJ,Dragutesti,3,2
78089,GJ,Turcinesti,3,0
78141,GJ,Municipiul Motru,18,105
78258,GJ,Oras Novaci,8,75
78329,GJ,Oras Targu Carbunesti,7,202
78454,GJ,Oras Ticleni,8,0
78472,GJ,Albeni,2,1
78542,GJ,Alimpesti,2,0
78604,GJ,Aninoasa,4,1
78668,GJ,Arcani,2,1
78711,GJ,Baia De Fier,4,0
78748,GJ,Balanesti,1,0
78828,GJ,Barbatesti,1,0
78873,GJ,Bengesti-Ciocadia,2,0
78926,GJ,Berlesti,2,0
79004,GJ,Balteni,4,2
79077,GJ,Bolbosi,4,0
79157,GJ,Borascu,3,0
79237,GJ,Branesti,3,0
79308,GJ,Oras Bumbesti-Jiu,18,69
79362,GJ,Bumbesti-Pitic,2,0
79406,GJ,Bustuchin,2,2
79497,GJ,Capreni,5,3
79585,GJ,Catunele,2,1
79656,GJ,Ciuperceni,2,0
79736,GJ,Calnic,2,0
79834,GJ,Crasna,3,1
79932,GJ,Cruset,3,0
80043,GJ,Danciulesti,3,0
80123,GJ,Danesti,3,0
80249,GJ,Dragotesti,3,0
80285,GJ,Farcasesti,1,0
80365,GJ,Glogova,2,0
80427,GJ,Godinesti,1,0
80506,GJ,Hurezani,1,0
80560,GJ,Ionesti,2,0
80613,GJ,Jupanesti,1,0
80677,GJ,Lelesti,2,0
80711,GJ,Licurici,2,0
80766,GJ,Logresti,2,6
80846,GJ,Matasari,4,4
80908,GJ,Musetesti,2,0
80980,GJ,Negomir,2,0
81095,GJ,Pades,3,1
81184,GJ,Pestisani,3,2
81264,GJ,Plopsoru,3,1
81380,GJ,Polovragi,3,0
81415,GJ,Prigoria,3,2
81497,GJ,Rosia De Amaradia,1,0
81576,GJ,Runcu,3,73
81656,GJ,Samarinesti,1,0
81754,GJ,Sacelu,1,0
81816,GJ,Saulesti,1,0
81861,GJ,Scoarta,3,1
81987,GJ,Schela,2,0
82047,GJ,Slivilesti,3,0
82136,GJ,Stanesti,2,1
82243,GJ,Stejari,1,0
82314,GJ,Stoina,1,0
82396,GJ,Telesti,2,2
82430,GJ,Oras Tismana,7,0
82555,GJ,Turburea,3,4
82617,GJ,Oras Turceni,14,62
82680,GJ,Tantareni,3,0
82733,GJ,Urdari,2,0
82779,GJ,Vagiulesti,1,1
82831,GJ,Vladimir,2,0
82895,GJ,Oras Rovinari,22,78
83133,HR,Municipiul Odorheiu Secuiesc,144,369
83151,HR,Bradesti,6,0
83197,HR,Feliceni,6,3
83320,HR,Municipiul Miercurea Ciuc,540,777
83375,HR,Pauleni-Ciuc,2,0
83428,HR,Oras Baile Tusnad,17,0
83464,HR,Oras Balan,9,0
83491,HR,Oras Borsec,8,1
83525,HR,Oras Cristuru Secuiesc,21,112
83561,HR,Municipiul Gheorgheni,78,122
83632,HR,Municipiul Toplita,56,112
83749,HR,Oras Vlahita,19,14
83785,HR,Atid,2,0
83847,HR,Avramesti,3,0
83936,HR,Bilbor,3,8
83963,HR,Capalnita,2,0
83981,HR,Ciucsangeorgiu,6,0
84086,HR,Ciumani,6,0
84102,HR,Carta,7,0
84148,HR,Corbu,5,1
84175,HR,Corund,10,0
84237,HR,Danesti,7,1
84264,HR,Dealu,4,0
84344,HR,Ditrau,9,4
84380,HR,Darjiu,0,0
84415,HR,Frumoasa,6,28
84460,HR,Galautas,3,1
84558,HR,Joseni,9,2
84594,HR,Lazarea,5,0
84629,HR,Lueta,2,0
84656,HR,Lunca De Jos,8,0
84754,HR,Lunca De Sus,6,0
84825,HR,Lupeni,8,0
84923,HR,Martinis,7,0
85056,HR,Meresti,3,1
85074,HR,Mihaileni,3,1
85127,HR,Mugeni,6,0
85243,HR,Ocland,2,23
85289,HR,Plaiesii De Jos,5,0
85341,HR,Praid,14,0
85412,HR,Remetea,11,0
85467,HR,Sacel,0,0
85528,HR,Sarmas,5,1
85582,HR,Secuieni,4,0
85626,HR,Siculeni,8,0
85680,HR,Sancraieni,9,0
85760,HR,Sandominic,6,0
85788,HR,Sanmartin,6,0
85840,HR,Sansimion,3,0
85877,HR,Subcetate,3,1
85920,HR,Suseni,11,0
85984,HR,Simonesti,3,1
86133,HR,Tulghes,3,71
86188,HR,Tusnad,3,0
86222,HR,Ulies,3,0
86311,HR,Varsag,1,0
86339,HR,Voslabeni,2,0
86366,HR,Zetea,10,0
86438,HR,Madaras,0,0
86446,HR,Cozmeni,0,1
86453,HR,Tomesti,0,0
86461,HR,Ciceu,0,0
86479,HR,Leliceni,0,0
86487,HR,Porumbeni,0,0
86495,HR,Racu,1,0
86501,HR,Satu Mare,0,0
86519,HR,Santimbru,0,0
86687,HD,Municipiul Deva,129,630
86749,HD,Carjiti,0,0
86810,HD,Municipiul Hunedoara,98,368
86883,HD,Ghelari,2,0
86936,HD,Teliucu Inferior,2,0
86990,HD,Municipiul Petrosani,48,410
87059,HD,Municipiul Lupeni,20,136
87077,HD,Oras Petrila,22,10
87139,HD,Oras Uricani,12,15
87175,HD,Municipiul Vulcan,20,86
87219,HD,Oras Aninoasa,3,14
87246,HD,Banita,0,0
87291,HD,Municipiul Brad,29,148
87362,HD,Criscior,4,0
87424,HD,Oras Calan,14,18
87576,HD,Oras Hateg,29,134
87638,HD,Municipiul Orastie,36,138
87665,HD,Oras Simeria,20,54
87745,HD,Baia De Cris,4,0
87843,HD,Balsa,1,0
87996,HD,Baru,1,0
88047,HD,Bacia,2,0
88092,HD,Baita,2,0
88216,HD,Batrana,0,0
88261,HD,Beriu,4,0
88350,HD,Blajeni,1,0
88449,HD,Bosorod,1,0
88546,HD,Branisca,2,10
88644,HD,Bretea Romana,1,8
88788,HD,Buces,1,0
88868,HD,Bucuresci,1,0
88920,HD,Bulzestii De Sus,0,0
89026,HD,Bunila,0,0
89080,HD,Burjuc,0,0
89151,HD,Cerbal,0,0
89240,HD,Certeju De Sus,4,0
89348,HD,Densus,1,0
89428,HD,Dobra,4,0
89561,HD,Oras Geoagiu,6,50
89687,HD,Gurasada,1,0
89801,HD,Harau,2,0
89856,HD,Ilia,4,0
89954,HD,Lapugiu De Jos,0,0
90066,HD,Lelese,0,0
90119,HD,Lunca Cernii De Jos,0,0
90208,HD,Luncoiu De Jos,1,0
90262,HD,Martinesti,0,0
90342,HD,Orastioara De Sus,2,0
90431,HD,Pestisu Mic,2,0
90538,HD,Pui,4,0
90663,HD,Rapoltu Mare,2,0
90725,HD,Rachitova,0,0
90805,HD,Ribita,1,0
90878,HD,Rau De Mori,1,0
90994,HD,Romos,3,0
91054,HD,Sarmizegetusa,1,0
91116,HD,Salasu De Sus,3,0
91232,HD,Santamaria-Orlea,2,0
91330,HD,Soimus,2,0
91447,HD,Tomesti,1,0
91535,HD,Toplita,1,0
91624,HD,Totesti,0,54
91688,HD,Turdas,2,0
91731,HD,General Berthelot,1,0
91795,HD,Vata De Jos,2,0
91937,HD,Valisoara,1,0
91982,HD,Vetel,1,0
92097,HD,Vorta,1,0
92177,HD,Zam,2,50
92569,CL,Municipiul Calarasi,125,606
92587,CL,Modelu,6,4
92658,IL,Municipiul Slobozia,144,604
92701,IL,Municipiul Fetesti,70,94
92765,IL,Oras Tandarei,50,10
92783,IL,Albesti,2,0
92836,IL,Oras Amara,37,0
92872,IL,Andrasesti,2,0
92907,IL,Balaciu,2,3
92961,CL,Borcea,7,0
92989,IL,Bordusani,4,0
93021,IL,Bucu,5,0
93067,IL,Oras Cazanesti,3,0
93085,CL,Ciocanesti,3,8
93101,IL,Ciochina,2,0
93156,IL,Ciulnita,2,0
93209,IL,Cocora,5,0
93236,IL,Cosambesti,2,0
93281,CL,Cuza Voda,4,0
93325,CL,Dichiseni,1,0
93370,CL,Dor Marunt,4,0
93441,CL,Dorobantu,3,0
93487,CL,Dragalina,6,1
93539,CL,Dragos Voda,2,1
93575,IL,Facaeni,4,2
93600,IL,Gheorghe Doja,3,0
93628,IL,Gheorghe Lazar,1,0
93646,IL,Giurgeni,1,0
93664,CL,Gradistea,4,0
93717,IL,Grindu,2,1
93735,IL,Grivita,3,0
93771,CL,Independenta,2,0
93815,CL,Jegalia,4,1
93851,CL,Lehliu,2,28
93888,CL,Oras Lehliu Gara,32,54
93931,CL,Lupsanu,5,1
93995,IL,Mihail Kogalniceanu,5,0
94045,IL,Milosesti,3,2
94081,IL,Movila,3,0
94107,IL,Munteni-Buzau,6,0
94125,CL,Alexandru Odobescu,2,1
94161,IL,Perieti,1,0
94223,CL,Perisoru,5,40
94269,IL,Reviga,1,0
94312,CL,Roseti,3,0
94330,IL,Salcioara,0,0
94376,IL,Saveni,5,0
94429,IL,Scanteia,1,0
94456,IL,Sfantu Gheorghe,1,0
94492,IL,Stelnica,0,0
94535,IL,Suditi,2,0
94562,CL,Stefan Cel Mare,2,1
94580,CL,Stefan Voda,1,1
94606,CL,Ulmu,1,11
94651,CL,Unirea,3,0
94688,IL,Valea Ciorii,2,0
94731,CL,Valcelele,1,0
94768,CL,Vlad Tepes,5,0
94795,IL,Vladeni,1,0
95060,IS,Municipiul Iasi,942,4167
95088,IS,Barnova,3,0
95159,IS,Holboca,4,0
95239,IS,Rediu,2,0
95293,IS,Tomesti,7,0
95355,IS,Oras Harlau,40,31
95391,IS,Municipiul Pascani,68,310
95471,IS,Oras Targu Frumos,29,18
95499,IS,Ion Neculce,3,0
95612,IS,Alexandru I. Cuza,1,0
95667,IS,Andrieseni,1,0
95747,IS,Aroneanu,2,0
95792,IS,Baltati,2,0
95872,IS,Belcesti,5,0
95943,IS,Bivolari,3,12
96003,IS,Ungheni,2,0
96058,IS,Braesti,2,0
96110,IS,Butea,2,0
96147,IS,Ceplenita,3,0
96192,IS,Ciortesti,2,0
96254,IS,Ciurea,4,1
96334,IS,Coarnele Caprei,2,0
96370,IS,Comarna,2,0
96423,IS,Costuleni,2,0
96478,IS,Cotnari,2,2
96593,IS,Cozmesti,2,5
96637,IS,Cristesti,2,1
96664,IS,Cucuteni,2,0
96717,IS,Dagata,2,0
96815,IS,Deleni,3,14
96888,IS,Dobrovat,2,0
96904,IS,Dolhesti,1,0
96940,IS,Dumesti,2,0
97009,IS,Erbiceni,2,0
97063,IS,Focuri,2,1
97090,IS,Golaiesti,2,0
97189,IS,Gorban,2,0
97241,IS,Grajduri,2,80
97321,IS,Gropnita,3,0
97394,IS,Grozesti,1,0
97438,IS,Halaucesti,4,2
97465,IS,Helesteni,2,0
97517,IS,Horlesti,2,2
97553,IS,Ipatele,3,0
97606,IS,Lespezi,3,0
97679,IS,Letcani,2,0
97722,IS,Lungani,1,0
97777,IS,Madarjac,2,0
97811,IS,Mircesti,4,5
97875,IS,Mironeasa,2,1
97919,IS,Miroslava,8,0
98051,IS,Miroslovesti,4,2
98113,IS,Mogosesti,3,0
98168,IS,Mogosesti-Siret,3,0
98202,IS,Mosna,2,0
98220,IS,Motca,2,0
98257,IS,Movileni,3,0
98300,IS,Oteleni,2,0
98337,IS,Plugari,2,0
98373,IS,Oras Podu Iloaiei,15,19
98435,IS,Popesti,3,0
98505,IS,Popricani,1,0
98603,IS,Prisacani,2,0
98649,IS,Probota,1,0
98685,IS,Raducaneni,6,21
98738,IS,Romanesti,3,0
98774,IS,Ruginoasa,2,0
98827,IS,Schitu Duca,2,0
98916,IS,Scanteia,2,0
98998,IS,Scobinti,1,0
99058,IS,Sinesti,2,0
99101,IS,Siretel,2,0
99165,IS,Stolniceni-Prajescu,2,0
99209,IS,Strunga,3,0
99290,IS,Scheia,2,0
99370,IS,Sipote,2,19
99441,IS,Tansa,2,1
99478,IS,Tatarusi,2,2
99539,IS,Todiresti,2,0
99600,IS,Trifesti,2,0
99673,IS,Tibana,2,0
99780,IS,Tibanesti,2,6
99879,IS,Tiganasi,2,0
99922,IS,Tutora,1,0
99968,IS,Valea Seaca,2,0
