Siruta,Localitate,Judet,Abs_liceal,Abs_postlic,Abs_primar_gimn,Abs_profes,Abs_tehnic,Abs_univ,Pop_liceal,Pop_profess,Pop_primar_gimn,Pop_univ
65342,Municipiul Targoviste,DB,1748.0,392.0,852.0,43.0,24.0,1255.0,7570.0,728.0,7794.0,4931.0
65681,Oras Gaesti,DB,462.0,48.0,186.0,21.0,0.0,0.0,1881.0,122.0,1444.0,0.0
69900,Municipiul Craiova,DJ,3580.0,1885.0,2135.0,300.0,137.0,5873.0,15599.0,1617.0,20949.0,21929.0
70352,Municipiul Calafat,DJ,219.0,140.0,129.0,0.0,0.0,0.0,945.0,38.0,1218.0,0.0
71607,Calarasi,DJ,80.0,52.0,50.0,35.0,0.0,0.0,389.0,71.0,370.0,0.0
73736,Poiana Mare,DJ,60.0,16.0,70.0,0.0,0.0,0.0,189.0,0.0,642.0,0.0
75098,Municipiul Galati,GL,2954.0,629.0,2009.0,179.0,150.0,3431.0,13053.0,1238.0,18876.0,14142.0
75203,Municipiul Tecuci,GL,787.0,116.0,392.0,64.0,0.0,0.0,3618.0,733.0,3646.0,0.0
76157,Cudalbi,GL,46.0,37.0,66.0,14.0,0.0,0.0,199.0,56.0,534.0,0.0
77812,Municipiul Targu Jiu,GJ,1894.0,932.0,965.0,49.0,95.0,971.0,8029.0,430.0,8661.0,3363.0
78711,Baia De Fier,GJ,31.0,41.0,49.0,0.0,0.0,0.0,147.0,63.0,353.0,0.0
79308,Oras Bumbesti-Jiu,GJ,70.0,26.0,53.0,0.0,0.0,0.0,198.0,70.0,496.0,0.0
81184,Pestisani,GJ,60.0,22.0,32.0,0.0,0.0,0.0,163.0,0.0,259.0,0.0
82895,Oras Rovinari,GJ,113.0,33.0,125.0,16.0,27.0,0.0,393.0,77.0,911.0,0.0
83133,Municipiul Odorheiu Secuiesc,HR,638.0,64.0,343.0,67.0,16.0,64.0,2458.0,504.0,3516.0,186.0
83320,Municipiul Miercurea Ciuc,HR,747.0,142.0,460.0,118.0,0.0,151.0,2994.0,658.0,3906.0,820.0
83632,Municipiul Toplita,HR,231.0,42.0,155.0,0.0,0.0,0.0,834.0,87.0,1387.0,0.0
84148,Corbu,HR,25.0,12.0,13.0,0.0,0.0,0.0,208.0,0.0,167.0,0.0
86687,Municipiul Deva,HD,807.0,396.0,571.0,45.0,33.0,0.0,3468.0,342.0,5211.0,0.0
86810,Municipiul Hunedoara,HD,508.0,325.0,486.0,23.0,90.0,272.0,2261.0,221.0,4273.0,859.0
86990,Municipiul Petrosani,HD,575.0,271.0,407.0,40.0,104.0,756.0,2262.0,270.0,3150.0,3192.0
87059,Municipiul Lupeni,HD,225.0,27.0,207.0,14.0,28.0,0.0,902.0,111.0,1877.0,0.0
87175,Municipiul Vulcan,HD,183.0,11.0,302.0,11.0,23.0,0.0,796.0,68.0,2109.0,0.0
87291,Municipiul Brad,HD,137.0,17.0,121.0,0.0,0.0,0.0,554.0,0.0,991.0,0.0
87362,Criscior,HD,76.0,28.0,16.0,17.0,0.0,0.0,286.0,88.0,194.0,0.0
87424,Oras Calan,HD,96.0,51.0,123.0,42.0,0.0,0.0,370.0,129.0,825.0,0.0
87638,Municipiul Orastie,HD,197.0,68.0,223.0,13.0,12.0,0.0,905.0,155.0,1662.0,0.0
87665,Oras Simeria,HD,100.0,6.0,106.0,0.0,15.0,0.0,287.0,97.0,922.0,0.0
89561,Oras Geoagiu,HD,80.0,56.0,58.0,0.0,0.0,0.0,466.0,27.0,405.0,0.0
92569,Municipiul Calarasi,CL,1024.0,158.0,569.0,39.0,15.0,56.0,4091.0,338.0,5515.0,317.0
92658,Municipiul Slobozia,IL,721.0,133.0,443.0,61.0,0.0,0.0,3625.0,325.0,4046.0,48.0
95060,Municipiul Iasi,IS,3877.0,1222.0,2452.0,195.0,112.0,11428.0,17586.0,2142.0,26203.0,53174.0
95391,Municipiul Pascani,IS,748.0,96.0,383.0,57.0,0.0,0.0,2975.0,575.0,3268.0,0.0
100521,Municipiul Giurgiu,GR,801.0,153.0,521.0,0.0,20.0,0.0,3491.0,208.0,4821.0,0.0
100683,Municipiul Urziceni,IL,394.0,38.0,183.0,70.0,0.0,0.0,1583.0,319.0,1680.0,0.0
102605,Dragomiresti-Vale,IF,152.0,60.0,36.0,0.0,0.0,0.0,646.0,16.0,386.0,0.0
106318,Municipiul Baia Mare,MM,2166.0,493.0,1229.0,103.0,11.0,1165.0,8754.0,975.0,11197.0,4700.0
106559,Municipiul Sighetu Marmatiei,MM,801.0,75.0,387.0,45.0,0.0,111.0,3208.0,511.0,3651.0,495.0
106979,Oras Viseu De Sus,MM,229.0,88.0,174.0,24.0,0.0,0.0,1124.0,175.0,1335.0,0.0
109773,Municipiul Drobeta-Turnu Severin,MH,1342.0,647.0,892.0,14.0,111.0,480.0,5570.0,336.0,7543.0,1710.0
109826,Simian,MH,104.0,13.0,56.0,0.0,41.0,0.0,398.0,52.0,667.0,0.0
110063,Municipiul Orsova,MH,175.0,60.0,126.0,0.0,11.0,0.0,824.0,103.0,772.0,0.0
114319,Municipiul Targu Mures,MS,1973.0,628.0,1317.0,54.0,61.0,2578.0,8380.0,1028.0,12520.0,11603.0
114514,Municipiul Sighisoara,MS,412.0,88.0,304.0,17.0,0.0,0.0,1571.0,231.0,2603.0,0.0
114809,Municipiul Reghin,MS,448.0,79.0,362.0,19.0,0.0,0.0,1869.0,413.0,3738.0,0.0
114854,Oras Sovata,MS,83.0,31.0,96.0,29.0,0.0,0.0,402.0,168.0,879.0,0.0
116545,Deda,MS,32.0,17.0,18.0,0.0,0.0,0.0,215.0,59.0,435.0,0.0
117319,Gurghiu,MS,49.0,25.0,52.0,9.0,0.0,0.0,203.0,49.0,481.0,0.0
118281,Oras Miercurea Nirajului,MS,75.0,17.0,71.0,0.0,0.0,0.0,205.0,145.0,634.0,0.0
120726,Municipiul Piatra-Neamt,NT,1752.0,373.0,783.0,88.0,22.0,42.0,6833.0,755.0,7889.0,214.0
120860,Municipiul Roman,NT,1075.0,230.0,452.0,108.0,0.0,30.0,4549.0,689.0,4487.0,145.0
120922,Horia,NT,11.0,28.0,34.0,0.0,0.0,0.0,226.0,47.0,390.0,0.0
121055,Oras Targu Neamt,NT,547.0,51.0,234.0,37.0,0.0,0.0,2861.0,172.0,2085.0,0.0
125347,Municipiul Slatina,OT,1506.0,817.0,701.0,34.0,88.0,109.0,6497.0,637.0,6553.0,575.0
125418,Oras Bals,OT,324.0,102.0,184.0,13.0,0.0,0.0,1288.0,236.0,1637.0,0.0
125472,Municipiul Caracal,OT,870.0,132.0,331.0,26.0,30.0,0.0,3711.0,497.0,2802.0,0.0
130534,Municipiul Ploiesti,PH,3079.0,1041.0,1977.0,172.0,135.0,1587.0,13035.0,1483.0,17954.0,6939.0
130552,Barcanesti,PH,50.0,19.0,67.0,11.0,0.0,0.0,162.0,90.0,728.0,0.0
131256,Municipiul Campina,PH,684.0,183.0,345.0,73.0,0.0,0.0,2605.0,423.0,2843.0,0.0
131817,Oras Valenii De Munte,PH,373.0,27.0,157.0,33.0,0.0,0.0,1435.0,206.0,1541.0,0.0
135949,Valea Calugareasca,PH,86.0,45.0,102.0,0.0,0.0,0.0,489.0,100.0,912.0,0.0
136483,Municipiul Satu Mare,SM,1522.0,451.0,1030.0,123.0,0.0,155.0,6445.0,1067.0,9491.0,1168.0
136526,Municipiul Carei,SM,326.0,41.0,209.0,52.0,31.0,0.0,1453.0,464.0,2081.0,0.0
138039,Oras Livada,SM,59.0,11.0,74.0,0.0,0.0,0.0,325.0,64.0,794.0,0.0
139704,Municipiul Zalau,SJ,1065.0,188.0,624.0,47.0,0.0,92.0,4104.0,398.0,5569.0,378.0
143450,Municipiul Sibiu,SB,1696.0,408.0,1182.0,159.0,0.0,3902.0,7816.0,1145.0,12878.0,16322.0
143619,Municipiul Medias,SB,452.0,49.0,431.0,93.0,0.0,0.0,2068.0,459.0,3734.0,0.0
146263,Municipiul Suceava,SV,2076.0,634.0,1060.0,160.0,46.0,2253.0,8903.0,1134.0,9833.0,7755.0
146502,Municipiul Campulung Moldovenesc,SV,578.0,205.0,205.0,58.0,0.0,0.0,2382.0,253.0,1507.0,0.0
146539,Municipiul Falticeni,SV,805.0,115.0,288.0,72.0,0.0,0.0,3766.0,339.0,2394.0,0.0
146584,Oras Gura Humorului,SV,340.0,12.0,220.0,71.0,0.0,0.0,1460.0,386.0,1830.0,0.0
146655,Oras Siret,SV,214.0,67.0,108.0,80.0,21.0,0.0,999.0,197.0,717.0,0.0
146744,Municipiul Vatra Dornei,SV,214.0,77.0,152.0,34.0,0.0,45.0,995.0,170.0,1221.0,99.0
147633,Oras Cajvana,SV,62.0,55.0,126.0,75.0,0.0,0.0,309.0,205.0,980.0,0.0
151683,Municipiul Turnu Magurele,TR,485.0,70.0,175.0,0.0,0.0,0.0,2248.0,22.0,1752.0,0.0
151790,Municipiul Alexandria,TR,983.0,216.0,411.0,20.0,0.0,151.0,4377.0,143.0,3607.0,661.0
151870,Municipiul Rosiori De Vede,TR,661.0,52.0,249.0,40.0,0.0,0.0,2811.0,313.0,2159.0,0.0
155243,Municipiul Timisoara,TM,3412.0,794.0,2094.0,158.0,155.0,7978.0,14442.0,1307.0,22275.0,40002.0
155350,Municipiul Lugoj,TM,561.0,133.0,366.0,21.0,0.0,205.0,2270.0,431.0,3560.0,360.0
159614,Municipiul Tulcea,TL,1042.0,216.0,653.0,70.0,20.0,0.0,4363.0,642.0,6590.0,0.0
161794,Municipiul Barlad,VS,1041.0,117.0,551.0,118.0,24.0,0.0,4377.0,886.0,5250.0,0.0
161945,Municipiul Vaslui,VS,1139.0,183.0,650.0,90.0,0.0,0.0,4987.0,820.0,5684.0,0.0
167473,Municipiul Ramnicu Valcea,VL,1819.0,655.0,1008.0,31.0,39.0,269.0,7775.0,492.0,9455.0,806.0
168041,Oras Horezu,VL,294.0,46.0,95.0,0.0,0.0,0.0,1206.0,93.0,728.0,0.0
174744,Municipiul Focsani,VN,1606.0,474.0,768.0,55.0,13.0,89.0,7143.0,564.0,7297.0,287.0
175019,Oras Odobesti,VN,108.0,28.0,72.0,0.0,0.0,0.0,509.0,52.0,718.0,0.0
175055,Oras Panciu,VN,161.0,22.0,56.0,0.0,0.0,0.0,712.0,0.0,639.0,0.0
178377,Vidra,VN,130.0,33.0,69.0,8.0,0.0,0.0,542.0,90.0,563.0,0.0
179132,Municipiul Bucuresti,B,14778.0,2927.0,13139.0,173.0,172.0,39692.0,66522.0,2449.0,146909.0,172038.0
